headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
centimeter/centimetre,NOUN,A2,,,
century,NOUN,A2,,,
cereal,NOUN,A2,,,Food and drink
certain,ADJ,A2,,,
certainly,ADV,A2,,,
chain,NOUN,A2,,,
chairman,NOUN,A2,,,
challenge,NOUN,A2,,,
champagne,NOUN,A2,,,Food and drink
championship,NOUN,A2,,,
chance,NOUN,A2,,,
chapter,NOUN,A2,Books and literature,Education,"Free time, entertainment"
chart,NOUN,A2,Education,,Education
chat,VERB,A2,,,
cheap,ADJ,A2,,,
check,VERB,A2,,,
cheek,NOUN,A2,,,Health and body care
cheer,VERB,A2,,,
chef,NOUN,A2,,,Personal identification
chemical,ADJ,A2,,,
cheque,NOUN,A2,,,Services
chess,NOUN,A2,,,"Free time, entertainment"
chest,NOUN,A2,,,Health and body care
childhood,NOUN,A2,,,
chili/chilli,NOUN,A2,,,Food and drink
chimpanzee,NOUN,A2,Education,,
chin,NOUN,A2,,,Health and body care
chirp,NOUN,A2,,,
choice,NOUN,A2,,,
cigarette,NOUN,A2,Hobbies and pastimes,,"Free time, entertainment"
citizen,NOUN,A2,Nationalities and countries,,
claim,VERB,A2,,,
classic,ADJ,A2,,,
classical music,NOUN,A2,,,
cleaner,NOUN,A2,,,"House and home, environment"
clear,ADJ,A2,,,
clearly,ADV,A2,,,
clerk,NOUN,A2,Work and jobs,,Personal identification
click,VERB,A2,,,
climb,VERB,A2,,,
climbing,NOUN,A2,,,"Free time, entertainment"
clone,VERB,A2,,,
clown,NOUN,A2,,,
clue,NOUN,A2,,,Personal identification
coast,NOUN,A2,,,"House and home, environment"
coin,NOUN,A2,Shopping,,Shopping
cola,NOUN,A2,Food and drink,,Food and drink
colorful/colourful,ADJ,A2,Colours,,
column,NOUN,A2,,,
comb,NOUN,A2,,,Shopping
comfortable,ADJ,A2,,,
comic,ADJ,A2,,,
comic,NOUN,A2,,,"Free time, entertainment"
commitment,NOUN,A2,,,
committee,NOUN,A2,,,
common,ADJ,A2,,,
communicate,VERB,A2,,,
communication,NOUN,A2,,,
company,NOUN,A2,,,
comparative,NOUN,A2,,,
compare,VERB,A2,,,
competition,NOUN,A2,,,
complain,VERB,A2,,,
complaint,NOUN,A2,,,
complete,ADJ,A2,,,
composer,NOUN,A2,Work and jobs,Arts,Personal identification
concentrate,VERB,A2,,,
concern,NOUN,A2,,,
condition,NOUN,A2,,,
confident,ADJ,A2,,,
confuse,VERB,A2,,,
confused,ADJ,A2,,,
consequence,NOUN,A2,,,
consider,VERB,A2,,,
consist,VERB,A2,,,
contact,NOUN,A2,,,
contact,VERB,A2,,,
container,NOUN,A2,Objects and rooms,,"House and home, environment"
context,NOUN,A2,Education,,Language
continent,NOUN,A2,Education,,Places
continue,VERB,A2,,,
contrast,NOUN,A2,,,
control,NOUN,A2,,,
convenience,NOUN,A2,,,
convenient,ADJ,A2,,,
cooker,NOUN,A2,,,"House and home, environment"
cooking,NOUN,A2,,,
cooler,NOUN,A2,,,
copy,VERB,A2,,,
correctly,ADV,A2,,,
cost,NOUN,A2,,,
cost,VERB,A2,,,
count,VERB,A2,,,
country,NOUN,A2,Nationalities and countries,,Places
countryside,NOUN,A2,Nationalities and countries,Holidays,Places
couple,NOUN,A2,Family life,,Personal identification
court,NOUN,A2,"Things in the town, shops and shopping",,Relations with other people
cover,VERB,A2,,,
crazy,ADJ,A2,,,
cream,ADJ,A2,,,
create,VERB,A2,,,
creative,ADJ,A2,,,
creativity,NOUN,A2,,,
creature,NOUN,A2,Education,,
credit,NOUN,A2,Shopping,,Services
cricket,NOUN,A2,,,"Free time, entertainment"
crime,NOUN,A2,"News, lifestyles and current affairs",,Relations with other people
crisp,NOUN,A2,,,
criticize/criticise,VERB,A2,,,
cross,NOUN,A2,Books and literature,,
cross,VERB,A2,,,
crowd,NOUN,A2,"Things in the town, shops and shopping",,Travel
crowded,ADJ,A2,,,
crown,NOUN,A2,,,
cruise,NOUN,A2,Travel and services vocab,,Travel
cry,VERB,A2,,,
cupboard,NOUN,A2,,,"House and home, environment"
curry,NOUN,A2,,,Food and drink
curse,NOUN,A2,Books and literature,,"Free time, entertainment"
custom,NOUN,A2,Nationalities and countries,Hobbies and pastimes,Places
customer,NOUN,A2,Shopping,,Services
cycling,NOUN,A2,,,"Free time, entertainment"
daily,ADJ,A2,,,
daily,ADV,A2,,,
dam,NOUN,A2,Education,,Places
dancer,NOUN,A2,Hobbies and pastimes,,Personal identification
danger,NOUN,A2,"News, lifestyles and current affairs",,Travel
dangerous,ADJ,A2,,,
daylight,NOUN,A2,,,
dead,ADJ,A2,,,
deal,NOUN,A2,Collocation,,Language
death,NOUN,A2,,,
debate,NOUN,A2,Education,,Education
decide,VERB,A2,,,
deep,ADV,A2,,,
deeply,ADV,A2,,,
degree,NOUN,A2,,,
delay,NOUN,A2,Travel and services vocab,,
dentist,NOUN,A2,,,Personal identification
department store,NOUN,A2,,,Shopping
depend,VERB,A2,,,
description,NOUN,A2,,,
desert,NOUN,A2,,,"House and home, environment"
dessert,NOUN,A2,,,"House and home, environment"
destroy,VERB,A2,,,
detail,NOUN,A2,,,
develop,VERB,A2,,,
developed,ADJ,A2,,,
diamond,NOUN,A2,Objects and rooms,,Shopping
diary,NOUN,A2,Objects and rooms,,Shopping
die,VERB,A2,,,
diet,NOUN,A2,Food and drink,,Food and drink
differently,ADV,A2,,,
difficulty,NOUN,A2,,,
digital camera,NOUN,A2,,,"Free time, entertainment"
dinosaur,NOUN,A2,,,
direct,ADJ,A2,,,
direction,NOUN,A2,,,
director,NOUN,A2,Work and jobs,,Personal identification
disadvantage,NOUN,A2,,,
disagree,VERB,A2,,,
disappear,VERB,A2,,,
disappointed,ADJ,A2,,,
disappointing,ADJ,A2,,,
disco,NOUN,A2,,,"Free time, entertainment"
discover,VERB,A2,,,
discussion,NOUN,A2,,,
dishonest,ADJ,A2,,,
dislike,NOUN,A2,Personal information,,Personal identification
display,NOUN,A2,Shopping,,
disturb,VERB,A2,,,
divide,VERB,A2,,,
dizzy,ADJ,A2,,,
done,do-verb,A2,,,
double,ADJ,A2,,,
doubt,NOUN,A2,,,
down,SCONJ,A2,,,
download,VERB,A2,,,
downstairs,ADV,A2,,,
downtown,ADV,A2,,,
draw,NOUN,A2,,,
drawer,NOUN,A2,,,"House and home, environment"
drawing,NOUN,A2,,,"Free time, entertainment"
dream,VERB,A2,,,
dress,VERB,A2,,,
dressed,ADJ,A2,,,
drill,NOUN,A2,Objects and rooms,,Education
drive,VERB,A2,,,
driver's license/driving licence,NOUN,A2,,,Travel
drop,NOUN,A2,,,
drug,NOUN,A2,Travel and services vocab,,Shopping
drugstore,NOUN,A2,"Things in the town, shops and shopping",,Shopping
dry,VERB,A2,,,
duck,NOUN,A2,,,
during,SCONJ,A2,,,
dust,NOUN,A2,Objects and rooms,,
early,ADJ,A2,,,
earn,VERB,A2,,,
earring,NOUN,A2,,,Shopping
earth,NOUN,A2,Nationalities and countries,,Places
earthquake,NOUN,A2,"News, lifestyles and current affairs",,Weather
easily,ADV,A2,,,
east,ADJ,A2,,,
east,ADV,A2,,,
east,NOUN,A2,,,
editor,NOUN,A2,Work and jobs,,Personal identification
education,NOUN,A2,Education,,Education
educational,ADJ,A2,,,
effect,NOUN,A2,,,
effort,NOUN,A2,,,
either,conjunction,A2,,,
elderly,ADJ,A2,,,
electric,ADJ,A2,,,
elephant,NOUN,A2,,,
elevator,NOUN,A2,"Things in the town, shops and shopping",,"House and home, environment"
elsewhere,ADV,A2,,,
email,VERB,A2,,,
embarrassing,ADJ,A2,,,
emergency,NOUN,A2,"News, lifestyles and current affairs",,
empty,ADJ,A2,,,
encourage,VERB,A2,,,
end,VERB,A2,,,
endangered,ADJ,A2,,,
ending,NOUN,A2,,,
energetic,ADJ,A2,,,
enormous,ADJ,A2,,,
enough,ADV,A2,,,
enough,DET,A2,,,
enough,PRON,A2,,,
enter,VERB,A2,,,
entertainment,NOUN,A2,Hobbies and pastimes,,"Free time, entertainment"
entrance,NOUN,A2,Objects and rooms,,"House and home, environment"
envelope,NOUN,A2,,,
envy,NOUN,A2,,,Relations with other people
episode,NOUN,A2,Books and literature,,"Free time, entertainment"
error,NOUN,A2,,,
escalator,NOUN,A2,"Things in the town, shops and shopping",,"House and home, environment"
escape,NOUN,A2,,,
especially,ADV,A2,,,
essay,NOUN,A2,Education,Books and literature,Education
establish,VERB,A2,,,
euro,NOUN,A2,,,
even,ADV,A2,,,
ever,ADV,A2,,,
evidence,NOUN,A2,,,
exactly,ADV,A2,,,
exam,NOUN,A2,,,
except,conjunction,A2,,,
except,SCONJ,A2,,,
exchange,NOUN,A2,,,
exercise,NOUN,A2,Leisure activities,,"Free time, entertainment"
exhibition,NOUN,A2,Hobbies and pastimes,,"Free time, entertainment"
exist,VERB,A2,,,
expect,VERB,A2,,,
experience,NOUN,A2,,,
expert,NOUN,A2,Work and jobs,,Personal identification
explain,VERB,A2,,,
explanation,NOUN,A2,,,
explore,VERB,A2,,,
express,NOUN,A2,,,
expression,NOUN,A2,,,
extra,ADJ,A2,,,
extra,ADV,A2,,,
extremely,ADV,A2,,,
face,VERB,A2,,,
fact,NOUN,A2,,,
fail,VERB,A2,,,
fairly,ADV,A2,,,
fall,VERB,A2,,,
familiar,ADJ,A2,,,
fancy,ADJ,A2,,,
fantastic,ADJ,A2,,,
far,ADV,A2,,,
fare,NOUN,A2,Travel and services vocab,,Travel
fascinating,ADJ,A2,,,
fashion,NOUN,A2,Shopping,,Shopping
fast food,NOUN,A2,,,Food and drink
fault,NOUN,A2,,,
favor/favour,NOUN,A2,,,
fear,NOUN,A2,,,
feather,NOUN,A2,,,
feature,NOUN,A2,,,
fee,NOUN,A2,Travel and services vocab,,Travel
feel,NOUN,A2,,,
female,ADJ,A2,,,
fence,NOUN,A2,"Things in the town, shops and shopping",,"House and home, environment"
few,DET,A2,,,
fiction,NOUN,A2,Books and literature,,"Free time, entertainment"
fighter,NOUN,A2,Work and jobs,,Personal identification
figure,NOUN,A2,,,
figure,VERB,A2,,,
film,NOUN,A2,Hobbies and pastimes,,"Free time, entertainment"
final,ADJ,A2,,,
final,NOUN,A2,,,
finally,ADV,A2,,,
first name,NOUN,A2,,,Personal identification
fisherman,NOUN,A2,Work and jobs,,Personal identification
fit,ADJ,A2,,,
fix,NOUN,A2,,,
flea,NOUN,A2,,,
flight,NOUN,A2,Ways of travelling,,Travel
float,NOUN,A2,Ways of travelling,,Travel
flood,NOUN,A2,"News, lifestyles and current affairs",,Weather
flour,NOUN,A2,Food and drink,,Food and drink
fog,NOUN,A2,,,Weather
folder,NOUN,A2,,,
follow,VERB,A2,,,
fool,NOUN,A2,,,
footballer,NOUN,A2,,,Personal identification
for,conjunction,A2,,,
forbid,VERB,A2,,,
force,NOUN,A2,,,
forest,NOUN,A2,,,"House and home, environment"
forever,ADV,A2,,,
fork,NOUN,A2,,,Shopping
fortunately,ADV,A2,,,
fortune,NOUN,A2,Shopping,,
forward/forwards,ADV,A2,,,
frame,NOUN,A2,,,
frank,ADJ,A2,,,
free,ADV,A2,,,
freedom,NOUN,A2,,,
freeze,VERB,A2,,,
fresh,ADJ,A2,,,
fridge,NOUN,A2,,,"House and home, environment"
fried,ADJ,A2,,,
friendship,NOUN,A2,Personal information,,Relations with other people
frighten,VERB,A2,,,
frightened,ADJ,A2,,,
frightening,ADJ,A2,,,
front,NOUN,A2,,,
fry,NOUN,A2,,,
fully,ADV,A2,,,
function,VERB,A2,,,
furniture,NOUN,A2,Objects and rooms,,"House and home, environment"
further,ADJ,A2,,,
gallery,NOUN,A2,"Things in the town, shops and shopping",,Services
garage,NOUN,A2,,,"House and home, environment"
garlic,NOUN,A2,,,Food and drink
gas,NOUN,A2,"Things in the town, shops and shopping",,Services
gate,NOUN,A2,Objects and rooms,,"House and home, environment"
gather,VERB,A2,,,
gender,NOUN,A2,Education,,Personal identification
generation,NOUN,A2,,,
gentle,ADJ,A2,,,
given,ADJ,A2,,,
globe,NOUN,A2,,,
glove,NOUN,A2,Clothes,,Shopping
gold,NOUN,A2,,,
golden,ADJ,A2,,,
golf,NOUN,A2,,,"Free time, entertainment"
good-looking,ADJ,A2,,,
government,NOUN,A2,"Things in the town, shops and shopping",,Relations with other people
grace,NOUN,A2,,,
gradually,ADV,A2,,,
graduate,VERB,A2,,,
gram/gramme,NOUN,A2,,,
grandchild,NOUN,A2,,,Personal identification
granddad,NOUN,A2,,,Personal identification
granddaughter,NOUN,A2,,,Personal identification
grandson,NOUN,A2,,,Personal identification
granny,NOUN,A2,,,
grateful,ADJ,A2,,,
greatly,ADV,A2,,,
greedy,ADJ,A2,,,
green,NOUN,A2,,,
grilled,ADJ,A2,,,
grocery store,NOUN,A2,,,
guard,NOUN,A2,Work and jobs,,Personal identification
guidebook,NOUN,A2,,,
gun,NOUN,A2,,,
half,DET,A2,,,
half,PRON,A2,,,
half-price,ADJ,A2,,,
half-price,ADV,A2,,,
ham,NOUN,A2,,,Food and drink
hand,VERB,A2,,,
handbag,NOUN,A2,Shopping,Clothes,Shopping
handicapped,ADJ,A2,,,
handle,NOUN,A2,,,
happily,ADV,A2,,,
happiness,NOUN,A2,,,
hardly,ADV,A2,,,
harm,VERB,A2,,,
harmful,ADJ,A2,,,
harmony,NOUN,A2,,,
harvest,NOUN,A2,,,
hate,VERB,A2,,,
head,VERB,A2,,,
headphone,NOUN,A2,Objects and rooms,,"Free time, entertainment"
headteacher,NOUN,A2,,,Personal identification
heat,NOUN,A2,,,
heating,NOUN,A2,Objects and rooms,,"House and home, environment"
heavily,ADV,A2,,,
help,NOUN,A2,,,
helpful,ADJ,A2,,,
hero,NOUN,A2,,,
herself,PRON,A2,,,
hey,INTJ,A2,,,
high,ADV,A2,,,
high school,NOUN,A2,,,
highway,NOUN,A2,"Things in the town, shops and shopping",,Travel
hike,NOUN,A2,Travel and services vocab,Leisure activities,Travel
hiking,NOUN,A2,,,
himself,PRON,A2,,,
hip hop/hip-hop/hiphop,NOUN,A2,Hobbies and pastimes,,"Free time, entertainment"
hit,VERB,A2,,,
hockey,NOUN,A2,,,"Free time, entertainment"
hold,VERB,A2,,,
home,ADV,A2,,,
honey,NOUN,A2,,,Food and drink
honor/honour,NOUN,A2,,,
horror,NOUN,A2,,,
host,NOUN,A2,,,
however,ADV,A2,,,
hug,VERB,A2,,,
human,ADJ,A2,,,
hundred,number,A2,,,
hunter,NOUN,A2,Work and jobs,,Personal identification
hurry,VERB,A2,,,
ID,NOUN,A2,,,
ID card,NOUN,A2,,,Services
ill,ADJ,A2,,,
illegal,ADJ,A2,,,
image,NOUN,A2,,,
imagination,NOUN,A2,,,
impact,NOUN,A2,,,
impatient,ADJ,A2,,,
importance,NOUN,A2,,,
importantly,ADV,A2,,,
impossible,ADJ,A2,,,
impress,VERB,A2,,,
improve,VERB,A2,,,
in,ADV,A2,,,
inch,NOUN,A2,,,
include,VERB,A2,,,
increase,VERB,A2,,,
indeed,ADV,A2,,,
independence,NOUN,A2,,,
indicate,VERB,A2,,,
indoor,ADJ,A2,,,
inexpensive,ADJ,A2,,,
influence,NOUN,A2,,,
injure,VERB,A2,,,
inner,ADJ,A2,,,
insect,NOUN,A2,,,
inside,ADV,A2,,,
inspiration,NOUN,A2,,,
instant,ADJ,A2,,,
instead,ADV,A2,,,
instrument,NOUN,A2,Objects and rooms,,"Free time, entertainment"
intelligence,NOUN,A2,Education,,Personal identification
intelligent,ADJ,A2,,,
interest,NOUN,A2,Personal information,,Personal identification
international,ADJ,A2,,,
invade,VERB,A2,,,
invent,VERB,A2,,,
invention,NOUN,A2,Education,,
invite,VERB,A2,,,
issue,NOUN,A2,Education,,
IT,NOUN,A2,,,
itself,PRON,A2,,,
jam,NOUN,A2,,,Food and drink
jelly,NOUN,A2,,,
joke,NOUN,A2,,,
journey,NOUN,A2,Travel and services vocab,,Travel
joy,NOUN,A2,,,
junior,ADJ,A2,,,
junk,NOUN,A2,Objects and rooms,,
killer,NOUN,A2,"News, lifestyles and current affairs",,Relations with other people
kilo,NOUN,A2,,,
kilogram/kilogramme,NOUN,A2,,,
kilometer/kilometre,NOUN,A2,,,
kind,ADJ,A2,,,
kindly,ADJ,A2,,,
kingdom,NOUN,A2,Nationalities and countries,,Places
kit,NOUN,A2,,,
knock,NOUN,A2,,,
knowledge,NOUN,A2,Education,,Education
labor/labour,NOUN,A2,Work and jobs,,Personal identification
lack,NOUN,A2,,,
lake,NOUN,A2,,,"House and home, environment"
lamp,NOUN,A2,,,"House and home, environment"
land,VERB,A2,,,
landscape,NOUN,A2,,,
lane,NOUN,A2,"Things in the town, shops and shopping",,Travel
last,DET,A2,,,
last,PRON,A2,,,
latest,ADJ,A2,,,
latter,ADV,A2,,,
latter,PRON,A2,,,
law,NOUN,A2,"News, lifestyles and current affairs",,Relations with other people
lawyer,NOUN,A2,Work and jobs,,Personal identification
laziness,NOUN,A2,,,
lead,NOUN,A2,,,
learner,NOUN,A2,Education,,Education
least,DET,A2,,,
leather,NOUN,A2,,,
left,ADV,A2,,,
left,NOUN,A2,,,
left-hand,ADJ,A2,,,
leisure,NOUN,A2,Leisure activities,,"Free time, entertainment"
lemon,NOUN,A2,,,Food and drink
lemonade,NOUN,A2,,,Food and drink
lend,VERB,A2,,,
less,ADV,A2,,,
less,DET,A2,,,
less,PRON,A2,,,
level,NOUN,A2,,,
liberty,NOUN,A2,,,
license/licence,VERB,A2,,,
lie,VERB,A2,,,
lifestyle,NOUN,A2,Personal information,,
likely,ADJ,A2,,,
lip,NOUN,A2,,,Health and body care
liter/litre,NOUN,A2,,,
lively,ADJ,A2,,,
load,NOUN,A2,,,
local,ADJ,A2,,,
lock,NOUN,A2,Objects and rooms,,"House and home, environment"
logical,ADJ,A2,,,
long,ADV,A2,,,
loose,ADJ,A2,,,
lose,VERB,A2,,,
lost,ADJ,A2,,,
lot,NOUN,A2,,,
loudly,ADV,A2,,,
lover,NOUN,A2,Family life,,Personal identification
low,ADJ,A2,,,
low,ADV,A2,,,
luckily,ADV,A2,,,
lunchtime,NOUN,A2,,,Food and drink
lyric,ADJ,A2,,,
mad,ADJ,A2,,,
magic,ADJ,A2,,,
magic,NOUN,A2,,,
main course,NOUN,A2,,,
mainly,ADV,A2,,,
major,ADJ,A2,,,
maker,NOUN,A2,Work and jobs,,Personal identification
make-up,NOUN,A2,,,
male,NOUN,A2,Personal information,,Personal identification
mall,NOUN,A2,"Things in the town, shops and shopping",,Shopping
manage,VERB,A2,,,
manager,NOUN,A2,Work and jobs,,Personal identification
manner,NOUN,A2,,,
mark,NOUN,A2,,,
mark,VERB,A2,,,
market,NOUN,A2,,,Shopping
married,ADJ,A2,,,
marry,VERB,A2,,,
marvelous/marvellous,ADJ,A2,,,
material,NOUN,A2,,,
matter,VERB,A2,,,
max,NOUN,A2,,,
mean,ADJ,A2,,,
meaning,NOUN,A2,,,
medal,NOUN,A2,,,
medical,ADJ,A2,,,
melon,NOUN,A2,,,Food and drink
member,NOUN,A2,,,Relations with other people
mention,NOUN,A2,,,
menu,NOUN,A2,Food and drink,,Food and drink
metal,NOUN,A2,,,
meter/metre,NOUN,A2,,,
method,NOUN,A2,,,
midday,NOUN,A2,,,
middle,NOUN,A2,,,
midnight,NOUN,A2,,,
might,AUX,A2,,,
military,ADJ,A2,,,
million,number,A2,,,
mind,VERB,A2,,,
mineral water,NOUN,A2,,,Food and drink
mirror,NOUN,A2,,,Shopping
missing,ADJ,A2,,,
mistake,NOUN,A2,,,
mix,VERB,A2,,,
mobile,ADJ,A2,,,
model,NOUN,A2,,,
modern,ADJ,A2,,,
mood,NOUN,A2,,,
mosque,NOUN,A2,,,"House and home, environment"
most,ADV,A2,,,
most,PRON,A2,,,
mostly,ADV,A2,,,
motorway,NOUN,A2,,,Travel
move,VERB,A2,,,
MP3 player,NOUN,A2,,,"Free time, entertainment"
Ms./Ms,NOUN,A2,,,Personal identification
mug,NOUN,A2,,,Shopping
murder,NOUN,A2,"News, lifestyles and current affairs",,Relations with other people
museum,NOUN,A2,"Things in the town, shops and shopping",,Places
mushroom,NOUN,A2,,,Food and drink
musical,ADJ,A2,,,
myself,PRON,A2,,,
mysterious,ADJ,A2,,,
mystery,NOUN,A2,,,
napkin,NOUN,A2,,,
nation,NOUN,A2,Nationalities and countries,,Places
national,ADJ,A2,,,
