headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
barn,NOUN,B2,Objects and rooms,,"House and home, environment"
barometer,NOUN,B2,Education,,
barren,ADJ,B2,,,
barrier,NOUN,B2,"News, lifestyles and current affairs",,
bartender,NOUN,B2,Work and jobs,,Personal identification
bathhouse,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
battlefield,NOUN,B2,"News, lifestyles and current affairs",,
beagle,NOUN,B2,,,
beak,NOUN,B2,,,
beam,NOUN,B2,,,
bearing,NOUN,B2,,,
beat,NOUN,B2,,,
beautify,VERB,B2,,,
bellow,VERB,B2,,,
belongings,NOUN,B2,,,
bend,NOUN,B2,,,
beneficial,ADJ,B2,,,
benefit,VERB,B2,,,
benevolence,NOUN,B2,,,
benevolent,ADJ,B2,,,
berry,NOUN,B2,,,Food and drink
bestow,VERB,B2,,,
bestseller,NOUN,B2,,,
betray,VERB,B2,,,
bewilder,VERB,B2,,,
bewilderment,NOUN,B2,,,
bid,VERB,B2,,,
bidding,NOUN,B2,Work and jobs,,
bikini,NOUN,B2,,,Shopping
billion,NOUN,B2,,,
bind,VERB,B2,,,
bio,NOUN,B2,Education,,
biological,ADJ,B2,,,
biotechnology,NOUN,B2,Education,Work and jobs,
birdcage,NOUN,B2,Objects and rooms,,"House and home, environment"
birthplace,NOUN,B2,Personal information,,Personal identification
bitterly,ADV,B2,,,
bizarre,ADJ,B2,,,
blade,NOUN,B2,,,
blast,NOUN,B2,"News, lifestyles and current affairs",,
blast,VERB,B2,,,
blaze,NOUN,B2,,,
blaze,VERB,B2,,,
blend,NOUN,B2,,,
blindly,ADV,B2,,,
blindness,NOUN,B2,,,
blink,VERB,B2,,,
bloodstream,NOUN,B2,,,
bloody,ADJ,B2,,,
bloody,ADV,B2,,,
blooming,ADJ,B2,,,
blossom,NOUN,B2,"Things in the town, shops and shopping",,
blur,VERB,B2,,,
blurt,NOUN,B2,,,
blush,VERB,B2,,,
boiling,ADJ,B2,,,
bold,NOUN,B2,,,
bolt,NOUN,B2,,,
bolt,VERB,B2,,,
bombard,NOUN,B2,Education,,
bomber,NOUN,B2,"News, lifestyles and current affairs",,Relations with other people
bombing,NOUN,B2,,,
bony,ADJ,B2,,,
bookish,ADJ,B2,,,
booklet,NOUN,B2,,,
bookmark,NOUN,B2,,,
bookmark,VERB,B2,,,
boost,NOUN,B2,,,
boost,VERB,B2,,,
booth,NOUN,B2,Objects and rooms,,
bossy,ADJ,B2,,,
botany,NOUN,B2,Education,,
bothered,ADJ,B2,,,
bothersome,ADJ,B2,,,
bottle,VERB,B2,,,
bounce,NOUN,B2,,,
bourbon,NOUN,B2,Food and drink,,Food and drink
bow,VERB,B2,,,
boxer,NOUN,B2,Work and jobs,Hobbies and pastimes,Personal identification
bracket,NOUN,B2,,,
brag,NOUN,B2,,,
brake,VERB,B2,,,
bravery,NOUN,B2,,,
breakable,ADJ,B2,,,
breakdown,NOUN,B2,,,
breakup,NOUN,B2,,,
breathtaking,ADJ,B2,,,
breed,NOUN,B2,,,
breezy,ADJ,B2,,,
brewery,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
brilliantly,ADV,B2,,,
broadband,NOUN,B2,,,
broadcast,VERB,B2,,,
broadcaster,NOUN,B2,Work and jobs,Media,Personal identification
broaden,VERB,B2,,,
broadly,ADV,B2,,,
brochure,NOUN,B2,,,
brother-in-law,NOUN,B2,,,Personal identification
browse,VERB,B2,,,
browser,NOUN,B2,,,
bruise,NOUN,B2,,,
bud,NOUN,B2,,,
budget,ADJ,B2,,,
bulimia,NOUN,B2,Technical and legal language,,
bully,VERB,B2,,,
bum,NOUN,B2,,,
bumper,NOUN,B2,,,
bun,NOUN,B2,,,Food and drink
burden,VERB,B2,,,
burdensome,ADJ,B2,,,
bureaucracy,NOUN,B2,Work and jobs,,
burglary,NOUN,B2,"News, lifestyles and current affairs",,
burgle,VERB,B2,,,
burial,NOUN,B2,Family life,,Daily life
bustle,VERB,B2,,,
bustling,ADJ,B2,,,
butcher,VERB,B2,,,
buzz,NOUN,B2,,,
buzz,VERB,B2,,,
cabinet,NOUN,B2,,,"House and home, environment"
cable,NOUN,B2,,,
calmly,ADV,B2,,,
campaign,NOUN,B2,,,
candidate,NOUN,B2,,,
cane,NOUN,B2,,,
cannonball,NOUN,B2,,,
canon,NOUN,B2,Books and literature,,
capability,NOUN,B2,,,
caption,NOUN,B2,,,
captive,NOUN,B2,"News, lifestyles and current affairs",,
caravan,NOUN,B2,,,
carbon,NOUN,B2,,,
carbon dioxide,NOUN,B2,,,
carbon footprint,NOUN,B2,,,
carbon monoxide,NOUN,B2,,,
cardboard,NOUN,B2,,,
cardigan,NOUN,B2,,,Shopping
carefree,ADJ,B2,,,
caring,ADJ,B2,,,
carnival,NOUN,B2,,,"Free time, entertainment"
carpool,NOUN,B2,,,Travel
carve,VERB,B2,,,
cascade,NOUN,B2,,,"House and home, environment"
cast,NOUN,B2,,,Personal identification
cast,VERB,B2,,,
casually,ADV,B2,,,
catalog/catalogue,NOUN,B2,,,Shopping
catalyst,NOUN,B2,,,
catastrophe,NOUN,B2,,,
catastrophic,ADJ,B2,,,
catchy,ADJ,B2,,,
categorization/categorisation,NOUN,B2,,,
catering,NOUN,B2,,,
cathedral,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
cause,NOUN,B2,,,
cease,VERB,B2,,,
ceiling,NOUN,B2,Objects and rooms,,"House and home, environment"
cellar,NOUN,B2,Objects and rooms,,Shopping
cellist,NOUN,B2,Work and jobs,,Personal identification
cello,NOUN,B2,,,
cemetery,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
centigrade,NOUN,B2,,,
certificate,NOUN,B2,Education,,Education
certification,NOUN,B2,Education,,
certify,VERB,B2,,,
challenge,VERB,B2,,,
chancellor,NOUN,B2,,,
chaotic,ADJ,B2,,,
characteristic,ADJ,B2,,,
charming,ADJ,B2,,,
chase,VERB,B2,,,
cheat,VERB,B2,,,
checkpoint,NOUN,B2,,,
cheeky,ADJ,B2,,,
cheerfully,ADV,B2,,,
cheerfulness,NOUN,B2,,,
chemotherapy,NOUN,B2,Scientific development,,
cherished,ADJ,B2,,,
cherry,NOUN,B2,,,Food and drink
chew,VERB,B2,,,
chief,NOUN,B2,,,Personal identification
childish,ADJ,B2,,,
chimney,NOUN,B2,,,"House and home, environment"
chip,NOUN,B2,,,
chop,VERB,B2,,,
chunk,NOUN,B2,,,
circuit,NOUN,B2,,,Travel
circuitry,NOUN,B2,,,
circumstance,NOUN,B2,,,
citywide,ADJ,B2,,,
clam,NOUN,B2,Food and drink,,Food and drink
clap,VERB,B2,,,
clarify,VERB,B2,,,
classic,NOUN,B2,,,
classification,NOUN,B2,,,
clause,NOUN,B2,,,Language
clearness,NOUN,B2,,,
clerical,ADJ,B2,,,
client,NOUN,B2,Work and jobs,,Personal identification
climate change,NOUN,B2,,,
clog,VERB,B2,,,
closure,NOUN,B2,,,
clothing,NOUN,B2,,,Shopping
clumsy,ADJ,B2,,,
coach,VERB,B2,,,
coaching,NOUN,B2,,,
coalition,NOUN,B2,,,
coarse,ADJ,B2,,,
coastline,NOUN,B2,,,
cocktail,NOUN,B2,Food and drink,,Food and drink
cocoa,NOUN,B2,Food and drink,,Food and drink
coconut,NOUN,B2,Food and drink,,Food and drink
coherence,NOUN,B2,,,
coherent,ADJ,B2,,,
coincide,VERB,B2,,,
coincidence,NOUN,B2,,,
collapse,VERB,B2,,,
colleague,NOUN,B2,Work and jobs,,Personal identification
collector,NOUN,B2,,,Personal identification
collocation,NOUN,B2,,,Language
colon,NOUN,B2,,,Language
colonial,ADJ,B2,,,
coma,NOUN,B2,,,
comb,VERB,B2,,,
comfortably,ADV,B2,,,
commander,NOUN,B2,Work and jobs,,Personal identification
commemorate,VERB,B2,,,
comment,VERB,B2,,,
commerce,NOUN,B2,Work and jobs,,
commercial,NOUN,B2,,,
commission,NOUN,B2,,,
commonwealth,NOUN,B2,Nationalities and countries,,
communicative,ADJ,B2,,,
community,NOUN,B2,,,
commute,VERB,B2,,,
compassion,NOUN,B2,,,
compassionate,ADJ,B2,,,
compatible,ADJ,B2,,,
compensate,VERB,B2,,,
compensation,NOUN,B2,,,
competence,NOUN,B2,,,
competent,ADJ,B2,,,
compile,VERB,B2,,,
completion,NOUN,B2,Work and jobs,,
complexion,NOUN,B2,,,
complexity,NOUN,B2,,,
component,NOUN,B2,,,
comprehension,NOUN,B2,Education,,
comprehensive,ADJ,B2,,,
compress,NOUN,B2,Technical and legal language,,
compression,NOUN,B2,,,
compromise,VERB,B2,,,
compulsory,ADJ,B2,,,
compute,VERB,B2,,,
conceal,VERB,B2,,,
concede,VERB,B2,,,
conceit,NOUN,B2,,,
conceivable,ADJ,B2,,,
conceive,VERB,B2,,,
conception,NOUN,B2,,,
concern,VERB,B2,,,
concerning,SCONJ,B2,,,
concession,NOUN,B2,,,
concrete,ADJ,B2,,,
concrete,NOUN,B2,,,
condemn,VERB,B2,,,
conduct,VERB,B2,,,
conductor,NOUN,B2,,,Personal identification
cone,NOUN,B2,,,
conference,NOUN,B2,Work and jobs,,
conferencing,NOUN,B2,,,
confess,VERB,B2,,,
confession,NOUN,B2,Books and literature,,
confidently,ADV,B2,,,
confine,VERB,B2,,,
confront,VERB,B2,,,
conjunction,NOUN,B2,,,Language
conquest,NOUN,B2,Education,Books and literature,
conscience,NOUN,B2,,,
consciousness,NOUN,B2,,,
consensus,NOUN,B2,,,
consent,NOUN,B2,,,
considerably,ADV,B2,,,
considering,conjunction,B2,,,
considering,SCONJ,B2,,,
consistent,ADJ,B2,,,
consolation,NOUN,B2,,,
console,VERB,B2,,,
constant,ADJ,B2,,,
consult,VERB,B2,,,
consultant,NOUN,B2,,,Personal identification
contaminate,VERB,B2,,,
contemporary,ADJ,B2,,,
contempt,NOUN,B2,,,
content,ADJ,B2,,,
contract,NOUN,B2,Work and jobs,Travel and services vocab,Daily life
contradict,VERB,B2,,,
contradiction,NOUN,B2,,,
contradictory,ADJ,B2,,,
controversy,NOUN,B2,,,
conveniently,ADV,B2,,,
convention,NOUN,B2,"News, lifestyles and current affairs",,
conventional,ADJ,B2,,,
converse,NOUN,B2,,,
conversely,ADV,B2,,,
conversion,NOUN,B2,,,
convert,VERB,B2,,,
convinced,ADJ,B2,,,
cool,VERB,B2,,,
cooperate,VERB,B2,,,
cooperation,NOUN,B2,,,
cooperative,ADJ,B2,,,
cope,VERB,B2,,,
copper,NOUN,B2,,,
coral,NOUN,B2,Education,,
core,NOUN,B2,,,
cornerstone,NOUN,B2,,,
cornet,NOUN,B2,,,
corona,NOUN,B2,Education,,
corporal,ADJ,B2,,,
corporate,ADJ,B2,,,
corporation,NOUN,B2,,,
correct,VERB,B2,,,
correctness,NOUN,B2,,,
correspond,VERB,B2,,,
correspondence,NOUN,B2,,,
correspondent,NOUN,B2,,,
corresponding,ADJ,B2,,,
corridor,NOUN,B2,,,
corrupt,ADJ,B2,,,
corruption,NOUN,B2,,,
costly,ADJ,B2,,,
costume,NOUN,B2,,,Shopping
cottage,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
cough,NOUN,B2,Travel and services vocab,,Health and body care
counter,NOUN,B2,,,"House and home, environment"
countryman,NOUN,B2,Nationalities and countries,,
countrywide,ADJ,B2,,,
courtesy,NOUN,B2,,,
coward,NOUN,B2,,,
cowardly,ADJ,B2,,,
coziness/cosiness,NOUN,B2,,,
cozy/cosy,ADJ,B2,,,
crab,NOUN,B2,,,
crack,NOUN,B2,,,
crack,VERB,B2,,,
craftsman,NOUN,B2,Work and jobs,,Personal identification
crater,NOUN,B2,Education,,
crawl,VERB,B2,,,
crease,NOUN,B2,,,
creation,NOUN,B2,,,
creatively,ADV,B2,,,
creek,NOUN,B2,,,
creepy,ADJ,B2,,,
crew,NOUN,B2,Work and jobs,,Personal identification
criminal,ADJ,B2,,,
cripple,NOUN,B2,,,
critically,ADV,B2,,,
criticism,NOUN,B2,Education,Books and literature,
crocodile,NOUN,B2,,,
crossly,ADV,B2,,,
crucial,ADJ,B2,,,
cruelly,ADV,B2,,,
cruelty,NOUN,B2,,,
cruise,VERB,B2,,,
crystallize/crystallise,VERB,B2,,,
cube,NOUN,B2,Education,,
cubism,NOUN,B2,Education,Arts,
cuff,NOUN,B2,Clothes,,Shopping
culmination,NOUN,B2,,,
culturally,ADV,B2,,,
cure,VERB,B2,,,
curl,NOUN,B2,,,
cursor,NOUN,B2,,,
cyberaddict,NOUN,B2,"News, lifestyles and current affairs",,
cybercafe/cybercaf_,NOUN,B2,"Things in the town, shops and shopping",,Food and drink
cybercrime,NOUN,B2,"News, lifestyles and current affairs",,
cyberpet,NOUN,B2,"News, lifestyles and current affairs",,
cyberschool,NOUN,B2,"News, lifestyles and current affairs",,Education
cyberspace,NOUN,B2,"News, lifestyles and current affairs",,
cyclist,NOUN,B2,Leisure activities,,"Free time, entertainment"
daft,ADJ,B2,,,
damn,ADJ,B2,,,
damn,ADV,B2,,,
damn,INTJ,B2,,,
dandelion,NOUN,B2,Education,,
darling,ADJ,B2,,,
darling,NOUN,B2,,,
dash,NOUN,B2,,,
dash,VERB,B2,,,
data,NOUN,B2,,,
database,NOUN,B2,,,
dated,ADJ,B2,,,
daughter-in-law,NOUN,B2,,,Personal identification
dawn,NOUN,B2,,,
daytime,NOUN,B2,,,
de facto,ADJ,B2,,,
dear,NOUN,B2,,,
dearly,ADV,B2,,,
debit,NOUN,B2,,,Shopping
debit,VERB,B2,,,
debit card,NOUN,B2,,,Shopping
decade,NOUN,B2,,,
decay,VERB,B2,,,
deceive,VERB,B2,,,
decent,ADJ,B2,,,
deceptive,ADJ,B2,,,
decisive,ADJ,B2,,,
deck,NOUN,B2,,,Travel
decline,VERB,B2,,,
decomposition,NOUN,B2,Education,,
decorate,VERB,B2,,,
decoration,NOUN,B2,,,
decorative,ADJ,B2,,,
dedication,NOUN,B2,,,
deduce,VERB,B2,,,
deduction,NOUN,B2,Education,,
deem,VERB,B2,,,
deep,ADJ,B2,,,
deer,NOUN,B2,,,
defeat,NOUN,B2,,,
deficit,NOUN,B2,,,
deforestation,NOUN,B2,"News, lifestyles and current affairs",,
defy,VERB,B2,,,
dehumanize/dehumanise,VERB,B2,,,
delegate,NOUN,B2,,,
deliberate,ADJ,B2,,,
deliberately,ADV,B2,,,
delicacy,NOUN,B2,,,
delicately,ADV,B2,,,
delight,VERB,B2,,,
demanding,ADJ,B2,,,
demolish,VERB,B2,,,
denim,NOUN,B2,,,Shopping
dense,ADJ,B2,,,
densely,ADV,B2,,,
dental,ADJ,B2,,,
dependable,ADJ,B2,,,
deposit,VERB,B2,,,
deputy,NOUN,B2,,,
descend,VERB,B2,,,
descriptive,ADJ,B2,,,
designer,ADJ,B2,,,
desirable,ADJ,B2,,,
desire,VERB,B2,,,
desktop,NOUN,B2,,,
desolation,NOUN,B2,,,
desperately,ADV,B2,,,
desperation,NOUN,B2,,,
despise,VERB,B2,,,
destiny,NOUN,B2,,,
detach,VERB,B2,,,
detachment,NOUN,B2,,,
detailed,ADJ,B2,,,
detect,VERB,B2,,,
determined,ADJ,B2,,,
determiner,NOUN,B2,,,Language
developing,ADJ,B2,,,
devil,NOUN,B2,,,
devote,VERB,B2,,,
devoted,ADJ,B2,,,
diarrhea/diarrhoea,NOUN,B2,Travel and services vocab,,Health and body care
dictator,NOUN,B2,Education,,Personal identification
digest,NOUN,B2,,,
dignify,VERB,B2,,,
dignity,NOUN,B2,,,
dilemma,NOUN,B2,,,
dim,ADJ,B2,,,
dime,NOUN,B2,,,
dimension,NOUN,B2,,,
dip,VERB,B2,,,
diphtheria,NOUN,B2,Travel and services vocab,,Health and body care
diploma,NOUN,B2,Education,,Education
diplomat,NOUN,B2,,,
disappearance,NOUN,B2,,,
disapproval,NOUN,B2,,,
disapprove,VERB,B2,,,
discharge,NOUN,B2,,,
disciple,NOUN,B2,Books and literature,,
discipline,NOUN,B2,,,
disconnect,VERB,B2,,,
discredit,VERB,B2,,,
discriminate,VERB,B2,,,
disgrace,NOUN,B2,,,
disguise,NOUN,B2,,,
disguise,VERB,B2,,,
dishonesty,NOUN,B2,,,
disillusion,VERB,B2,,,
dismiss,VERB,B2,,,
disorder,NOUN,B2,,,
disorderly,ADJ,B2,,,
disorganized/disorganised,ADJ,B2,,,
dispensable,ADJ,B2,,,
displace,VERB,B2,,,
displeasure,NOUN,B2,,,
disposal,NOUN,B2,,,
disposition,NOUN,B2,,,
dispute,NOUN,B2,,,
disqualify,VERB,B2,,,
disregard,NOUN,B2,,,
disrupt,VERB,B2,,,
dissatisfaction,NOUN,B2,,,
dissatisfied,ADJ,B2,,,
dissident,NOUN,B2,,,
distinguished,ADJ,B2,,,
distortion,NOUN,B2,,,
distract,VERB,B2,,,
distraction,NOUN,B2,,,
distressing,ADJ,B2,,,
distributor,NOUN,B2,Work and jobs,,Personal identification
diversion,NOUN,B2,,,
divert,VERB,B2,,,
divided,ADJ,B2,,,
division,NOUN,B2,,,
divorce,NOUN,B2,Family life,,Relations with other people
divorce,VERB,B2,,,
DNA,NOUN,B2,Education,,
dock,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
domestic,ADJ,B2,,,
dominate,VERB,B2,,,
donate,VERB,B2,,,
donation,NOUN,B2,,,
donkey,NOUN,B2,,,
doom,NOUN,B2,,,
doorkeeper,NOUN,B2,Work and jobs,,Personal identification
doorway,NOUN,B2,Objects and rooms,,"House and home, environment"
dorm,NOUN,B2,"Things in the town, shops and shopping",Idiomatic expressions,"House and home, environment"
dormitory,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
dose,NOUN,B2,,,
double,NOUN,B2,,,
double,VERB,B2,,,
doubly,ADV,B2,,,
doubt,VERB,B2,,,
doubtful,ADJ,B2,,,
dove,NOUN,B2,,,
down,ADJ,B2,,,
downfall,NOUN,B2,,,
download,NOUN,B2,Technical and legal language,,
downsize,VERB,B2,,,
dowry,NOUN,B2,,,
draft/draught,NOUN,B2,,,
drain,NOUN,B2,,,
drain,VERB,B2,,,
dramatically,ADV,B2,,,
drapery,NOUN,B2,Clothes,,Shopping
dread,VERB,B2,,,
dreadful,ADJ,B2,,,
dreamy,ADJ,B2,,,
drinkable,ADJ,B2,,,
droop,NOUN,B2,,,
dropout,NOUN,B2,,,
drought,NOUN,B2,"News, lifestyles and current affairs",,
duel,NOUN,B2,,,
dumb,ADJ,B2,,,
duplicate,NOUN,B2,,,
duplication,NOUN,B2,,,
dwarf,NOUN,B2,Books and literature,,Personal identification
dye,NOUN,B2,,,
dynamic,ADJ,B2,,,
eagerly,ADV,B2,,,
eagle,NOUN,B2,,,
earnings,NOUN,B2,,,Shopping
ease,NOUN,B2,,,
ease,VERB,B2,,,
eastward/eastwards,ADV,B2,,,
ecologically,ADV,B2,,,
ecologist,NOUN,B2,,,
economical,ADJ,B2,,,
economist,NOUN,B2,,,Personal identification
ecstatic,ADJ,B2,,,
edit,NOUN,B2,,,
edit,VERB,B2,,,
editorial,NOUN,B2,Media,,Personal identification
educated,ADJ,B2,,,
educator,NOUN,B2,Work and jobs,Education,Personal identification
effectively,ADV,B2,,,
effectiveness,NOUN,B2,,,
elect,VERB,B2,,,
elective,ADJ,B2,,,
electrician,NOUN,B2,,,Personal identification
electronically,ADV,B2,,,
electronics,NOUN,B2,,,
elegance,NOUN,B2,,,
elegant,ADJ,B2,,,
elegantly,ADV,B2,,,
elemental,ADJ,B2,,,
eligible,ADJ,B2,,,
elite,NOUN,B2,,,
eloquence,NOUN,B2,,,
eloquent,ADJ,B2,,,
embassy,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
embrace,NOUN,B2,,,
emergence,NOUN,B2,,,
emphatically,ADV,B2,,,
employ,VERB,B2,,,
employee,NOUN,B2,Work and jobs,,Personal identification
employer,NOUN,B2,Work and jobs,,Personal identification
encounter,VERB,B2,,,
endeavor/endeavour,NOUN,B2,,,
endlessly,ADV,B2,,,
endorse,VERB,B2,,,
endurance,NOUN,B2,,,
enduring,ADJ,B2,,,
energy,NOUN,B2,,,
enforce,VERB,B2,,,
engagement,NOUN,B2,,,
engulf,VERB,B2,,,
enhance,VERB,B2,,,
enroll/enrol,VERB,B2,Education,,
enterprise,NOUN,B2,Work and jobs,,
entertaining,ADJ,B2,,,
enthusiastically,ADV,B2,,,
entitle,VERB,B2,,,
entrepreneur,NOUN,B2,,,
environment,NOUN,B2,,,"House and home, environment"
environmentally,ADV,B2,,,
environmentally friendly,ADJ,B2,,,
envy,VERB,B2,,,
equal,NOUN,B2,,,
equal,VERB,B2,,,
equation,NOUN,B2,,,
equip,VERB,B2,,,
equity,NOUN,B2,,,
erect,ADJ,B2,,,
erupt,VERB,B2,,,
eruption,NOUN,B2,"News, lifestyles and current affairs",,
essayist,NOUN,B2,Work and jobs,,Personal identification
essentially,ADV,B2,,,
estate,NOUN,B2,,,"House and home, environment"
estimate,NOUN,B2,,,
estimated,ADJ,B2,,,
eternally,ADV,B2,,,
ethic,NOUN,B2,,,
ethnic,ADJ,B2,,,
evacuate,VERB,B2,,,
evacuation,NOUN,B2,,,
evaluate,VERB,B2,,,
evaluation,NOUN,B2,,,
everlasting,ADJ,B2,,,
evidently,ADV,B2,,,
evil,ADJ,B2,,,
evil,NOUN,B2,,,
evolution,NOUN,B2,,,
evolve,VERB,B2,,,
