headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
close,ADJ,A1,,,
close,VERB,A1,,,
closed,ADJ,A1,,,
cloth,NOUN,A1,Objects and rooms,,Shopping
clothes,NOUN,A1,,,
cloud,NOUN,A1,,,Weather
cloudy,ADJ,A1,,,
club,NOUN,A1,Hobbies and pastimes,,Relations with other people
coach,NOUN,A1,Ways of travelling,,Personal identification
coat,NOUN,A1,Clothes,,Shopping
code,NOUN,A1,,,
coffee,NOUN,A1,Food and drink,,Food and drink
coke,NOUN,A1,Food and drink,,Food and drink
cold,ADJ,A1,,,
cold,NOUN,A1,Travel and services vocab,,Weather
collect,VERB,A1,,,
collection,NOUN,A1,Hobbies and pastimes,,
college,NOUN,A1,Education,"Things in the town, shops and shopping",Education
color/colour,NOUN,A1,Colours,,
color/colour,VERB,A1,Colours,,
come,VERB,A1,,,
computer,NOUN,A1,Objects and rooms,,"House and home, environment"
concert,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
contest,NOUN,A1,,,
conversation,NOUN,A1,,,
cook,NOUN,A1,Work and jobs,,Personal identification
cook,VERB,A1,,,
cookie,NOUN,A1,Food and drink,,Food and drink
cool,ADJ,A1,,,
cop,NOUN,A1,Work and jobs,Travel and services vocab,Personal identification
copy,NOUN,A1,Education,,Services
corn,NOUN,A1,Food and drink,,Food and drink
corner,NOUN,A1,Objects and rooms,,"House and home, environment"
correct,ADJ,A1,,,
couch,NOUN,A1,Objects and rooms,,"House and home, environment"
could,AUX,A1,,,
course,NOUN,A1,Education,Ways of travelling,Education
cousin,NOUN,A1,Family life,,Personal identification
cover,NOUN,A1,Objects and rooms,,Shopping
cow,NOUN,A1,,,
cream,NOUN,A1,Food and drink,,Food and drink
credit card,NOUN,A1,Shopping,,Shopping
cry,NOUN,A1,,,
culture,NOUN,A1,Nationalities and countries,,"Free time, entertainment"
cup,NOUN,A1,Objects and rooms,,Shopping
cut,VERB,A1,,,
cute,ADJ,A1,,,
dad,NOUN,A1,Family life,,Personal identification
daddy,NOUN,A1,,,
dance,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
dance,VERB,A1,,,
dancing,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
dark,ADJ,A1,,,
date,NOUN,A1,,,Personal identification
daughter,NOUN,A1,Family life,,Personal identification
day,NOUN,A1,,,
dear,ADJ,A1,,,
December,NOUN,A1,,,
delicious,ADJ,A1,,,
describe,VERB,A1,,,
design,NOUN,A1,Arts,,"Free time, entertainment"
desk,NOUN,A1,Objects and rooms,,"House and home, environment"
dictionary,NOUN,A1,Objects and rooms,,Education
did,do-verb,A1,,,
difference,NOUN,A1,,,
different,ADJ,A1,,,
difficult,ADJ,A1,,,
dig,NOUN,A1,,,
dining room,NOUN,A1,Objects and rooms,,"House and home, environment"
dinner,NOUN,A1,Food and drink,,Food and drink
dirty,ADJ,A1,,,
discuss,VERB,A1,,,
dish,NOUN,A1,Objects and rooms,,Shopping
do,do-verb,A1,,,
doctor/Dr./Dr,NOUN,A1,Work and jobs,,Personal identification
does,do-verb,A1,,,
dog,NOUN,A1,,,
doing,do-verb,A1,,,
doll,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
dollar,NOUN,A1,Shopping,,Shopping
door,NOUN,A1,Objects and rooms,,"House and home, environment"
down,ADV,A1,,,
drama,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
draw,VERB,A1,,,
dream,NOUN,A1,,,
dress,NOUN,A1,Clothes,,Shopping
drink,NOUN,A1,Food and drink,,Food and drink
drink,VERB,A1,,,
drive,NOUN,A1,Hobbies and pastimes,,Travel
driver,NOUN,A1,Hobbies and pastimes,Work and jobs,Personal identification
drop,VERB,A1,,,
drum,NOUN,A1,Leisure activities,,"Free time, entertainment"
dry,ADJ,A1,,,
due,ADJ,A1,,,
DVD,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
each,DET,A1,,,
each,PRON,A1,,,
each other,PRON,A1,,,
ear,NOUN,A1,,,Health and body care
early,ADV,A1,,,
easy,ADJ,A1,,,
eat,VERB,A1,,,
egg,NOUN,A1,Food and drink,,Food and drink
eight,number,A1,,,
eighteen,number,A1,,,
eighty,number,A1,,,
either,ADV,A1,,,
elementary,ADJ,A1,,,
eleven,number,A1,,,
else,ADV,A1,,,
email/e-mail/E-mail,NOUN,A1,Media,,Services
end,NOUN,A1,,,
engineer,NOUN,A1,Work and jobs,,Personal identification
enjoy,VERB,A1,,,
evening,NOUN,A1,,,
event,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
every,DET,A1,,,
everybody,PRON,A1,,,
everyday,ADJ,A1,,,
everyone,PRON,A1,,,
everything,PRON,A1,,,
everywhere,ADV,A1,,,
example,NOUN,A1,,,
excellent,ADJ,A1,,,
excited,ADJ,A1,,,
exciting,ADJ,A1,,,
excuse,NOUN,A1,,,
exercise,VERB,A1,,,
expensive,ADJ,A1,,,
eye,NOUN,A1,,,Health and body care
face,NOUN,A1,,,Health and body care
factory,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
fair,ADJ,A1,,,
fairy,NOUN,A1,Books and literature,,
false,ADJ,A1,,,
family,NOUN,A1,Family life,,Personal identification
famous,ADJ,A1,,,
fan,NOUN,A1,Objects and rooms,,Personal identification
farm,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
farmer,NOUN,A1,Work and jobs,,Personal identification
fast,ADJ,A1,,,
fast,ADV,A1,,,
fat,ADJ,A1,,,
father,NOUN,A1,Family life,,Personal identification
favorite/favourite,ADJ,A1,,,
favorite/favourite,NOUN,A1,,,Personal identification
February,NOUN,A1,,,
feed,NOUN,A1,Food and drink,,Food and drink
feel,VERB,A1,,,
feeling,NOUN,A1,,,
festival,NOUN,A1,Leisure activities,,"Free time, entertainment"
fever,NOUN,A1,Travel and services vocab,,Health and body care
field,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
fifteen,number,A1,,,
fifty,number,A1,,,
fight,NOUN,A1,"News, lifestyles and current affairs",,Relations with other people
file,NOUN,A1,Objects and rooms,,
fill,VERB,A1,,,
find,VERB,A1,,,
fine,ADJ,A1,,,
finish,NOUN,A1,,,
finish,VERB,A1,,,
fire,NOUN,A1,,,
first,ADJ,A1,,,
first,ADV,A1,,,
fish,NOUN,A1,Food and drink,,Food and drink
fishing,NOUN,A1,Leisure activities,,"Free time, entertainment"
five,number,A1,,,
flag,NOUN,A1,"Things in the town, shops and shopping",,
flat,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
floor,NOUN,A1,Objects and rooms,,"House and home, environment"
flower,NOUN,A1,,,
fly,NOUN,A1,Ways of travelling,,
fly,VERB,A1,,,
focus,VERB,A1,,,
foggy,ADJ,A1,,,
following,ADJ,A1,,,
food,NOUN,A1,Food and drink,,Food and drink
football,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
for,SCONJ,A1,,,
foreign,ADJ,A1,,,
foreigner,NOUN,A1,,,Personal identification
forget,VERB,A1,,,
form,NOUN,A1,,,
forty,number,A1,,,
four,number,A1,,,
fourteen,number,A1,,,
free,ADJ,A1,,,
Friday,NOUN,A1,,,
friend,NOUN,A1,Personal information,,Relations with other people
frog,NOUN,A1,,,
from,SCONJ,A1,,,
front,ADJ,A1,,,
fruit,NOUN,A1,Food and drink,,Food and drink
full,ADJ,A1,,,
fun,ADJ,A1,,,
fun,NOUN,A1,"Adjectives: personality, description, feelings",,
funny,ADJ,A1,,,
future,NOUN,A1,,,
game,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
garbage,NOUN,A1,Objects and rooms,,"House and home, environment"
garden,NOUN,A1,Objects and rooms,,"House and home, environment"
get,VERB,A1,,,
ghost,NOUN,A1,,,
gift,NOUN,A1,Objects and rooms,,Shopping
girl,NOUN,A1,,,Personal identification
girlfriend,NOUN,A1,Personal information,,Personal identification
give,VERB,A1,,,
glad,ADJ,A1,,,
glass,NOUN,A1,Objects and rooms,,Shopping
glasses,NOUN,A1,Objects and rooms,,"House and home, environment"
go,VERB,A1,,,
goal,NOUN,A1,,,"Free time, entertainment"
gold,ADJ,A1,,,
good,ADJ,A1,,,
good afternoon,INTJ,A1,,,
good morning,INTJ,A1,,,
good night,INTJ,A1,,,
grade,NOUN,A1,,,Education
grammar,NOUN,A1,Education,,Education
grandfather,NOUN,A1,Family life,,Personal identification
grandma,NOUN,A1,Family life,,Personal identification
grandmother,NOUN,A1,Family life,,Personal identification
grandpa,NOUN,A1,Family life,,Personal identification
grandparent,NOUN,A1,Family life,,Personal identification
grape,NOUN,A1,Food and drink,,Food and drink
grass,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
gray/grey,ADJ,A1,Colours,,
gray/grey,NOUN,A1,Colours,,
great,ADJ,A1,,,
green,ADJ,A1,Colours,,
greet,VERB,A1,,,
ground,NOUN,A1,"Things in the town, shops and shopping",,"Free time, entertainment"
group,NOUN,A1,,,Relations with other people
grow,VERB,A1,,,
guess,VERB,A1,,,
guest,NOUN,A1,,,Relations with other people
guitar,NOUN,A1,Objects and rooms,,"Free time, entertainment"
guy,NOUN,A1,,,Personal identification
habit,NOUN,A1,Personal information,,Personal identification
had,have-verb,A1,,,
hair,NOUN,A1,Personal information,,Health and body care
haircut,NOUN,A1,,,Services
half,NOUN,A1,,,
hall,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
hamburger,NOUN,A1,Food and drink,,Food and drink
hand,NOUN,A1,,,Health and body care
handsome,ADJ,A1,,,
happen,VERB,A1,,,
happy,ADJ,A1,,,
hard,ADJ,A1,,,
hard,ADV,A1,,,
has,have-verb,A1,,,
hat,NOUN,A1,Clothes,,Shopping
have,have-verb,A1,,,
have to,AUX,A1,,,
having,have-verb,A1,,,
he,PRON,A1,,,
head,NOUN,A1,,,Health and body care
headache,NOUN,A1,Travel and services vocab,,Health and body care
health,NOUN,A1,Travel and services vocab,,Health and body care
healthy,ADJ,A1,,,
hear,VERB,A1,,,
heart,NOUN,A1,,,Health and body care
heavy,ADJ,A1,,,
hello,NOUN,A1,,,
help,VERB,A1,,,
her,DET,A1,,,
her,PRON,A1,,,
here,ADV,A1,,,
hers,PRON,A1,,,
hi,INTJ,A1,,,
hide,VERB,A1,,,
high,ADJ,A1,,,
hill,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
him,PRON,A1,,,
his,DET,A1,,,
his,PRON,A1,,,
history,NOUN,A1,Education,,Education
hobby,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
hold,NOUN,A1,,,
hole,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
holiday,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
home,NOUN,A1,Family life,,Daily life
hometown,NOUN,A1,Nationalities and countries,,Personal identification
homework,NOUN,A1,Education,,Education
hope,NOUN,A1,,,
horse,NOUN,A1,,,
hospital,NOUN,A1,"Things in the town, shops and shopping",,Health and body care
hot,ADJ,A1,,,
hotel,NOUN,A1,Travel and services vocab,,Travel
hour,NOUN,A1,,,
house,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
how,ADV,A1,,,
hungry,ADJ,A1,,,
hurry,NOUN,A1,,,
hurt,VERB,A1,,,
husband,NOUN,A1,Family life,,Personal identification
I,PRON,A1,,,
ice,NOUN,A1,Food and drink,,Food and drink
ice cream,NOUN,A1,Food and drink,,Food and drink
idea,NOUN,A1,,,
ideal,ADJ,A1,,,
if,conjunction,A1,,,
imagine,VERB,A1,,,
important,ADJ,A1,,,
in,SCONJ,A1,,,
information,NOUN,A1,Media,,Services
inside,SCONJ,A1,,,
interested,ADJ,A1,,,
interesting,ADJ,A1,,,
Internet/internet,NOUN,A1,Media,"News, lifestyles and current affairs","Free time, entertainment"
interview,NOUN,A1,,,Relations with other people
interviewer,NOUN,A1,,,Personal identification
into,SCONJ,A1,,,
introduce,VERB,A1,,,
is,be-verb,A1,,,
island,NOUN,A1,Nationalities and countries,,"Free time, entertainment"
it,PRON,A1,,,
item,NOUN,A1,Objects and rooms,,
its,DET,A1,,,
its,PRON,A1,,,
jacket,NOUN,A1,Clothes,,Shopping
January,NOUN,A1,,,
jeans,NOUN,A1,Clothes,,Shopping
jet,NOUN,A1,Ways of travelling,,Travel
jewelry/jewellery,NOUN,A1,Shopping,,Shopping
job,NOUN,A1,Work and jobs,,Personal identification
join,VERB,A1,,,
judge,VERB,A1,,,
juice,NOUN,A1,Food and drink,,Food and drink
July,NOUN,A1,,,
jump,VERB,A1,,,
June,NOUN,A1,,,
just,ADV,A1,,,
keep,VERB,A1,,,
key,ADJ,A1,,,
key,NOUN,A1,Objects and rooms,,"House and home, environment"
kick,NOUN,A1,,,
kick,VERB,A1,,,
kid,NOUN,A1,Family life,,Personal identification
kill,VERB,A1,,,
kind,NOUN,A1,,,
king,NOUN,A1,Nationalities and countries,,Relations with other people
kiss,NOUN,A1,,,
kitchen,NOUN,A1,Objects and rooms,,"House and home, environment"
kite,NOUN,A1,Leisure activities,,"Free time, entertainment"
knee,NOUN,A1,,,Health and body care
knife,NOUN,A1,Objects and rooms,,Shopping
know,VERB,A1,,,
lady,NOUN,A1,Personal information,,Personal identification
language,NOUN,A1,Nationalities and countries,,Language
large,ADJ,A1,,,
last name,NOUN,A1,,,
late,ADJ,A1,,,
late,ADV,A1,,,
later,ADV,A1,,,
laugh,VERB,A1,,,
lazy,ADJ,A1,,,
leader,NOUN,A1,Work and jobs,,Relations with other people
leaf,NOUN,A1,"Things in the town, shops and shopping",,
learn,VERB,A1,,,
leave,VERB,A1,,,
left,ADJ,A1,,,
leg,NOUN,A1,,,Health and body care
lesson,NOUN,A1,Education,,Education
let,VERB,A1,,,
letter,NOUN,A1,Objects and rooms,,Services
library,NOUN,A1,"Things in the town, shops and shopping",,"Free time, entertainment"
life,NOUN,A1,,,
light,ADJ,A1,,,
light,NOUN,A1,,,"House and home, environment"
like,SCONJ,A1,,,
like,VERB,A1,,,
lily,NOUN,A1,,,
line,NOUN,A1,,,
lion,NOUN,A1,,,
list,NOUN,A1,Objects and rooms,,
listen,VERB,A1,,,
little,ADJ,A1,,,
little,ADV,A1,,,
live,VERB,A1,,,
living,ADJ,A1,,,
living room,NOUN,A1,Objects and rooms,,"House and home, environment"
lonely,ADJ,A1,,,
long,ADJ,A1,,,
look,NOUN,A1,,,
look,VERB,A1,,,
lot,ADV,A1,,,
lot,PRON,A1,,,
love,NOUN,A1,,,
love,VERB,A1,,,
lovely,ADJ,A1,,,
luck,NOUN,A1,,,
lucky,ADJ,A1,,,
lunch,NOUN,A1,Food and drink,,Food and drink
'm,be-verb,A1,,,
machine,NOUN,A1,Work and jobs,,Daily life
magazine,NOUN,A1,Objects and rooms,,"Free time, entertainment"
mail,NOUN,A1,Objects and rooms,,Services
make,VERB,A1,,,
man,NOUN,A1,Personal information,,Personal identification
many,DET,A1,,,
many,PRON,A1,,,
map,NOUN,A1,Objects and rooms,,Travel
March,NOUN,A1,,,
match,NOUN,A1,Hobbies and pastimes,,Shopping
math/maths,NOUN,A1,Education,,Education
matter,NOUN,A1,,,
may,AUX,A1,,,
May,NOUN,A1,,,
maybe,ADV,A1,,,
me,PRON,A1,,,
meal,NOUN,A1,Food and drink,,Food and drink
mean,VERB,A1,,,
meat,NOUN,A1,Food and drink,,Food and drink
medicine,NOUN,A1,Travel and services vocab,,Health and body care
meet,VERB,A1,,,
meeting,NOUN,A1,,,Relations with other people
memory,NOUN,A1,,,
merry,ADJ,A1,,,
message,NOUN,A1,Media,,Services
middle,ADJ,A1,,,
milk,NOUN,A1,Food and drink,,Food and drink
mind,NOUN,A1,,,
mine,PRON,A1,,,
minute,NOUN,A1,,,
Miss,NOUN,A1,,,Personal identification
miss,VERB,A1,,,
mobile,NOUN,A1,Objects and rooms,,"House and home, environment"
mobile phone,NOUN,A1,Objects and rooms,,"House and home, environment"
mom,NOUN,A1,Family life,,Personal identification
moment,NOUN,A1,,,
mommy/mommie,NOUN,A1,,,
Monday,NOUN,A1,,,
money,NOUN,A1,Shopping,,Shopping
monkey,NOUN,A1,,,
month,NOUN,A1,,,
moon,NOUN,A1,,,
more,DET,A1,,,
more,PRON,A1,,,
morning,NOUN,A1,,,
most,DET,A1,,,
mother,NOUN,A1,Family life,,Personal identification
mountain,NOUN,A1,Nationalities and countries,,"House and home, environment"
mouse,NOUN,A1,,,
mouth,NOUN,A1,,,Health and body care
move,NOUN,A1,,,
movie,NOUN,A1,Film,Hobbies and pastimes,"Free time, entertainment"
Mr./Mr,NOUN,A1,,,Personal identification
Mrs./Mrs,NOUN,A1,,,Personal identification
much,ADV,A1,,,
much,DET,A1,,,
much,PRON,A1,,,
mum,NOUN,A1,Family life,,Personal identification
music,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
musician,NOUN,A1,Work and jobs,,Personal identification
must,AUX,A1,,,
my,DET,A1,,,
name,NOUN,A1,Personal information,,Personal identification
nationality,NOUN,A1,Nationalities and countries,,Personal identification
near,SCONJ,A1,,,
neck,NOUN,A1,,,Health and body care
need,AUX,A1,,,
neighbor/neighbour,NOUN,A1,Family life,,Relations with other people
never,ADV,A1,,,
new,ADJ,A1,,,
news,NOUN,A1,"News, lifestyles and current affairs",,"Free time, entertainment"
newspaper,NOUN,A1,Objects and rooms,,"Free time, entertainment"
nice,ADJ,A1,,,
night,NOUN,A1,,,
nine,number,A1,,,
nineteen,number,A1,,,
ninety,number,A1,,,
no,ADV,A1,,,
no,DET,A1,,,
noise,NOUN,A1,,,
nose,NOUN,A1,,,Health and body care
not,ADV,A1,,,
note,NOUN,A1,Objects and rooms,,Shopping
note,VERB,A1,,,
notebook,NOUN,A1,Objects and rooms,,Shopping
nothing,PRON,A1,,,
November,NOUN,A1,,,
now,ADV,A1,,,
number,NOUN,A1,,,Personal identification
nurse,NOUN,A1,Work and jobs,Travel and services vocab,Personal identification
o'clock,ADV,A1,,,
October,NOUN,A1,,,
of,SCONJ,A1,,,
off,ADJ,A1,,,
office,NOUN,A1,"Things in the town, shops and shopping",,Services
officer,NOUN,A1,Work and jobs,,Personal identification
often,ADV,A1,,,
OK/okay,ADJ,A1,,,
OK/okay,ADV,A1,,,
old,ADJ,A1,,,
Olympics,NOUN,A1,"News, lifestyles and current affairs",,"Free time, entertainment"
on,SCONJ,A1,,,
once,ADV,A1,,,
one,DET,A1,,,
one,number,A1,,,
only,ADJ,A1,,,
only,ADV,A1,,,
open,ADJ,A1,,,
open,VERB,A1,,,
opera,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
or,conjunction,A1,,,
orange,ADJ,A1,,,
orange,NOUN,A1,Food and drink,,Food and drink
order,NOUN,A1,,,Shopping
other,DET,A1,,,
our,DET,A1,,,
ours,PRON,A1,,,
out,ADV,A1,,,
outside,ADV,A1,,,
over,SCONJ,A1,,,
own,ADJ,A1,,,
owner,NOUN,A1,Work and jobs,,Personal identification
p.m./P.M./pm/PM,ADV,A1,,,
page,NOUN,A1,Books and literature,,"Free time, entertainment"
paint,NOUN,A1,Education,,Shopping
paint,VERB,A1,,,
painting,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
pair,NOUN,A1,,,
palace,NOUN,A1,Nationalities and countries,,"House and home, environment"
pants,NOUN,A1,Clothes,,Shopping
paper,NOUN,A1,Objects and rooms,,"Free time, entertainment"
paragraph,NOUN,A1,Education,,Education
pardon,NOUN,A1,,,
parent,NOUN,A1,Family life,,Personal identification
park,NOUN,A1,"Things in the town, shops and shopping",,"House and home, environment"
partner,NOUN,A1,Family life,,Personal identification
party,NOUN,A1,Hobbies and pastimes,,"Free time, entertainment"
past,ADV,A1,,,
past,SCONJ,A1,,,
pay,NOUN,A1,Shopping,,Shopping
pay,VERB,A1,,,
peace,NOUN,A1,,,
pen,NOUN,A1,Objects and rooms,,Shopping
pencil,NOUN,A1,Objects and rooms,,Shopping
people,NOUN,A1,,,
